Country,Population density (inhab/km2),GDP per capita (current US$/inhab),Long-term average annual precipitation in depth (mm/year),Total internal renewable water resources per capita (m3/inhab/yr),Water resources: total external renewable (10^9 m3/yr),Total renewable water resources per capita (m3/inhab/yr),Dam capacity per capita (m3/inhab),Total water withdrawal per capita (m<sup>3</sup>/year per inhabitant),Environmental Flow Requirements (10^9 m3/year),SDG 6.4.2. Water Stress (%),SDG 6.4.1. Water Use Efficiency (US$/m3),SDG 6.4.1. Irrigated Agriculture Water Use Efficiency (US$/m3),SDG 6.4.1. Industrial Water Use Efficiency (US$/m3),SDG 6.4.1. Services Water Use Efficiency (US$/m3),Irrigated cropping intensity (%),Flood occurrence (WRI)
Lao People's Democratic Republic,29.82055321,2579.121946,1834,26963.08309,143.1,47227.87926,1503.928269,1036.605926,180.1,4.771838331,1.849129582,0.124625387,20.80253603,70.18713227,100,3.9
Latvia,29.85507942,17837.89963,667,8784.215791,18,18118.09325,521.1414917,91.87959402,17.97,1.080431302,140.7950969,0.016669768,149.2214627,222.5595725,104.2016807,1.8
Lebanon,656.4026794,9257.297212,661,699.768843,-0.297,656.4706459,33.23902004,268.2447232,1.421,58.79299156,25.76719734,1.498742738,7.365933476,165.5549294,146.8888889,2.8
Lesotho,69.44426877,1162.716412,788,2480.638686,-2.208,1433.36331,1362.878546,20.77475611,1.315,2.565905097,48.61753663,0.015867065,32.60901104,73.86037943,100,3.3
Liberia,43.26993804,437.118973,2391,41502.61892,32,48143.03795,49.51262437,30.2761605,176.8,0.264311594,4.615814353,0.035593686,4.091905387,5.667104291,100,1.9
Libya,3.795627835,5312.471944,56,104.8130293,0,104.8130293,58.37935998,872.942801,,817.1428571,4.287071605,0.018497703,58.98246137,11.98403487,121.1940299,0
Liechtenstein,236.9375,178107.1977,,,0,0,,,,,,,,474.2210839,,3.3
Lithuania,42.90494716,18583.56844,656,5518.937166,9.04,8746.051782,176.7773405,90.81257604,10.63,1.834102379,156.5520804,0.029486577,174.7976648,213.8447095,74.36893204,2.4
Luxembourg,233.2992278,120137.9555,934,1654.95784,2.5,5792.35244,102.6073861,86.38879925,2.294,4.328358209,1096.77276,0,3535.664478,1014.734449,,3.1
Madagascar,44.71741288,527.386601,1513,12832.07614,0,12832.07614,18.78966259,516.2111959,217.5,11.26150628,0.765236259,0.10608842,17.30765741,15.67841073,135.6777494,2.6
Malawi,153.1331617,375.49037,1181,889.5886545,1.14,952.4220539,2.301411045,74.78276868,9.529,17.50483809,3.26309941,0.035192664,19.40394518,24.18427986,108.3703704,3.3
Malaysia,95.30844317,11190.75401,2875,18396.32685,0,18396.32685,712.0705564,174.0673134,385,3.43948718,58.42048464,0.917378774,75.85917865,144.4326928,183.5511145,3.1
Maldives,1718.986667,11991.75312,1972,58.17380782,0,58.17380782,0,11.44084887,,15.66666667,,,1941.131984,630.772591,,
Mali,15.38292439,898.685409,282,3145.025128,60,6290.050257,723.0936941,271.8350053,55.2,8.00308642,1.858635291,0.047417621,787.0589498,58.41123732,149.8213009,2.6
Malta,1372.65,33671.58935,560,114.9692201,0,114.9692201,0,145.7035661,,85.14851485,174.1032789,2.210750393,1341.40018,263.4038085,100,0
Marshall Islands,324.5166667,4028.711494,,,0,0,,,,,,,,,,
Mauritania,4.272157757,1678.315035,92,90.840692,11,2588.959722,113.550865,306.6327558,1.222,13.24621733,3.932657191,0.352240738,47.66822045,35.25402417,174.9562172,2.5
Mauritius,621.1691176,11211.98418,2041,2170.953728,0,2170.953728,73.28843066,470.3338502,,21.48309706,18.90090643,0.385375691,186.6033668,32.36707826,83.46153846,
Mexico,64.23949949,9356.145765,758,3241.124067,52.888,3660.235484,1206.760037,703.9499587,262.08,44.46268418,13.07440248,0.263479819,42.08432043,60.0842683,104.3290677,2.9
Micronesia (Federated States of),160.9142857,3495.367468,,,0,0,,,,,,,,,,
Monaco,19083.37444,184807.8284,,,,,,129.2590869,,,,,,1150.511934,,2.8
Mongolia,2.026841999,4167.368686,241,10977.17001,0,10977.17001,78.85897996,145.8575693,21.18,3.395007342,22.82883361,0.258161821,29.12547895,124.7378644,96.57142857,1.3
Montenegro,45.46046343,8752.031333,,,,,1637.440687,256.2881386,,,21.93125731,47.32526778,7.879330072,30.63759769,100,3.5
Morocco,80.68322248,3258.233846,346,804.9050805,0,804.9050805,498.4441324,289.5160308,8.167,50.75121202,8.715868798,0.432899935,126.3892168,56.59179837,127.5913497,2.9
Mozambique,36.89860142,482.063443,1032,3400.460618,116.8,7360.319045,2513.444533,49.938968,133,1.751486326,7.828018101,0.058985165,149.9509911,20.74846196,100,3
Myanmar,79.37502956,1350.738003,2091,18671.22263,165,21743.37235,289.154455,621.7174546,595,5.801501397,1.853438085,0.203587502,50.7071385,9.20745477,133.2213154,3.2
Namibia,2.970193743,5610.397958,285,2516.030504,33.75,16301.10023,289.3978314,117.632595,7.19,0.861552567,36.86077457,0.071887622,230.2144692,101.0746725,100,2.1
Nauru,533.5,11201.86037,,937.2071228,0,937.2071228,,,,,,,,,,
Nepal,190.8935589,939.453255,1500,7054.456776,12,7481.568185,3.036050267,338.0266471,95.94,8.311832662,2.232012969,0.601197842,100.6308088,85.54117631,163.4417808,4.5
Netherlands,456.2599626,53505.05087,778,644.7997486,80,5334.252466,541.2800799,474.730884,41.57,16.38417965,90.06718257,18.19409706,23.46897392,298.4412609,100,2.5
New Zealand,17.71742184,43776.46571,1732,68941.80237,0,68941.80237,3560.454055,1037.200385,204.3,8.04808476,36.99581314,3.860530818,29.45880754,254.9178947,100,1.7
Nicaragua,49.59347242,2087.250028,2280,24160.54069,8.31,25445.82392,4950.190248,238.8987334,107.2,2.692428472,6.783497616,0.212291582,39.75337551,25.5257918,100,3.6
Niger,17.71335596,574.639399,151,155.9518674,30.55,1517.188881,4.172559048,78.01603559,10.61,7.453924915,3.666555733,0.004792857,52.55974886,25.2669628,100,3.4
Nigeria,212.0383678,2153.520403,1150,1128.272407,65.2,1461.138293,258.6691359,63.68867997,157.2,9.668217054,31.26515234,0.227130815,63.3832477,52.84664057,169.7744361,3.1
Niue,6.230769231,,,,0,0,,,,,,,,,,
North Macedonia,81.01738623,6056.855579,619,2592.468303,1,3072.555026,1099.350587,413.0797176,2.268,25.26621491,10.11183884,0.644790963,9.582348593,20.70870777,94.32666114,3.3
Norway,13.85736454,81101.65805,1414,71562.89235,11,73623.60391,6234.570422,504.16245,261.5,2.046463878,120.8238747,1.037473271,109.7616123,266.6451228,282.7763496,1.3
Oman,15.60411309,19070.91177,125,289.8867019,0,289.8867019,18.30013337,387.8269948,,116.7142857,46.6246606,1.220495836,171.787562,506.3004827,116.6608696,1.9
Pakistan,266.5849592,1406.00688,494,259.1548989,191.8,1162.89871,131.0297934,864.3993855,83.79,118.2381449,1.520812094,0.318541334,36.76787859,17.88615778,115.3953739,3.9
Palau,38.92826087,12930.01616,,,0,0,,,,,,,,,,
Palestine,807.8038206,3221.318341,402,166.9758393,0.025,172.116721,0,80.09493769,0.1359,42.74711168,34.08134927,5.111318101,87.62158593,52.58381697,516.2364696,3
Panama,55.45497876,15628.40512,2928,32703.92248,2.704,33351.29735,2187.547658,290.0258543,4.864,0.90107111,48.5381843,0.288737401,2765.180436,54.70456067,139.0168015,2.8
Papua New Guinea,18.5945964,2741.30003,3142,93071.10598,0,93071.10598,0,45.55952641,504.5,0.132242833,,,37.83892998,49.37994294,,1.6
Paraguay,17.10149182,5844.278424,1130,16819.85191,270.77,55745.58953,4820.109527,346.8914757,256.3,1.835399711,14.08881927,0.156403024,68.66138317,63.88334626,100,3.3
Peru,24.89010442,6827.188847,1738,51298.46705,238.8,58763.47249,180.4616925,500.1678688,1343,6.544895678,11.66140908,0.595330917,723.4579825,115.4816787,142.6438053,2.8
Philippines,355.5046467,3106.78539,2348,4491.268065,0,4491.268065,66.61891358,881.3761965,151.9,28.65641618,3.54742492,0.172396145,6.076543937,23.23316129,174.8883938,4
Poland,121.275359,15369.73348,600,1413.442769,6.9,1595.397155,77.94767688,264.5194854,31.61,33.22256836,46.21996545,0.092351323,20.79866764,154.0828911,104.132948,2.7
Portugal,111.2076582,23397.87424,854,3705.078483,39.4,7546.659857,1134.212275,585.012392,27.63,12.31571228,30.53706764,0.477511486,18.88502761,166.3778051,88.83034773,2.4
Puerto Rico,342.6827508,27638.89219,2054,2335.836736,0,2335.836736,,1077.281323,2.621,19.53561063,28.90470552,2.593100485,19.28118393,61.24892126,113.3713561,
Qatar,242.0959095,71010.31928,74,20.13170449,0.002,20.85069393,,316.7148509,,431.0344828,200.846266,1.298993761,2930.474648,120.260031,100,0
Republic of Korea,510.0847887,33626.65754,1274,1267.301895,4.85,1362.080834,368.0657041,529.2377784,35.44,85.22183304,53.80293787,1.623517773,115.5326129,137.4489946,152.7714675,3.5
Republic of Moldova,119.7029247,2798.548169,450,399.8080921,10.65,3028.176105,278.2614962,206.5675143,5.536,12.42946243,7.970333425,0.603707071,2.640562418,33.79537826,122.605364,3.8
Romania,81.82094799,12234.10355,637,2172.652123,169.63,10868.89987,567.1247487,328.9225112,105.2,6.00692819,27.80352146,0.288388123,13.77005306,114.4862458,113.2075472,3.7
Russian Federation,8.523330633,11534.17515,460,29588.14604,213.445,31052.76614,5500.043854,444.7828448,2953,4.122242749,18.90745488,0.04719743,14.17829589,47.41140147,100,2
Rwanda,467.0451784,760.729801,1212,772.2340406,3.8,1081.127657,0,14.94882527,10.28,6.089403974,35.1430955,0.114289352,71.65152604,81.144975,200,3.6
Saint Kitts and Nevis,201.6961538,18098.87596,1427,457.6571766,0,457.6571766,,297.4771648,,50.83333333,,0.479856222,,42.48179077,,
Saint Lucia,293.3693548,10696.72356,2301,1649.357575,0,1649.357575,14.29443232,235.8581333,,14.3,,0.001672245,,116.2676392,,3.6
Saint Vincent and the Grenadines,282.5923077,7362.068966,1583,907.350446,0,907.350446,,77.14293492,,7.9,,,46331.19516,60.87514569,,3.6
Samoa,69.05950704,4215.911916,2880,,0,0,50.98685049,,,,,,,,,
San Marino,563.0833333,48802.05605,,,,,,,,,,,,,,2.3
Sao Tome and Principe,219.8208333,1968.732492,3200,10330.3827,0,10330.3827,184.8095987,193.8131433,,1.876146789,7.834039154,0.295273332,77.70334966,18.1109656,,
Saudi Arabia,15.67796101,23319.88719,59,71.21079356,0,71.21079356,29.79161407,712.1079356,,1000,28.07951152,0.789882083,230.9938,97.87316125,99.30273702,1.2
Senegal,80.59744294,1461.174722,686,1627.316411,13.17,2458.004672,15.76856987,140.0879747,20.16,11.80728336,7.570906623,0.095289503,81.26634499,121.4771712,153.9130435,2.5
Serbia,99.62374378,7215.958011,,955.0420243,,18426.05167,257.8624826,631.3365113,73.47,6.263383298,5.837513802,0.165644845,2.183827875,35.4349539,144.9676155,3.5
Seychelles,211.0782609,16697.89746,2330,,0,0,10.29908544,141.0974705,,,93.72374437,8.140336143,37.23260505,126.1338996,112,
Sierra Leone,105.8112033,531.27842,2526,20914.62259,0,20914.62259,28.75760606,27.73801821,117.2,0.495794393,8.638562123,0.118712393,4.514755146,14.20818753,100,1.6
Singapore,7952.346685,62348.33805,2497,104.2119156,0,104.2119156,13.0091208,114.5288953,,81.85,,,232.4988313,794.8949058,,2.9
Slovakia,111.2179074,19442.19282,824,2310.648753,37.5,9187.579566,316.6505716,112.2315109,26.86,2.394578313,138.4188092,1.405299417,110.2966056,199.3286519,160.3363413,3.8
Slovenia,102.5034409,25962.32981,1162,8985.305392,13.2,15338.0655,16.12253512,462.5001865,17.08,6.497633536,42.92303714,6.499239517,15.87044609,168.0672508,100,3.5
Solomon Islands,22.59020761,2039.282045,3028,68468.28632,0,68468.28632,,,,,,,,,,
Somalia,23.53640812,98.437155,282,399.7807602,8.7,979.4628626,0,219.7461579,1.254,24.52774059,0.190449249,0.031382813,47.51535144,28.67359394,100,3.8
South Africa,47.40627681,6412.962691,495,775.1868503,6.55,888.5233206,536.7801244,343.4700665,20.12,63.56067883,14.31725313,0.113890099,17.2047996,51.11301068,88.87240356,2.8
South Sudan,17.31473914,635.254613,900,2368.820419,23.5,4509.869645,,59.94937831,33.93,4.226075787,15.7408857,0.017263587,24.60452332,24.96032012,157.3051948,2.5
Spain,92.28616529,30599.42268,636,2381.520531,0.3,2387.945497,1152.523155,668.6461557,38.15,42.56441718,36.81703408,0.606186418,37.15820395,187.205274,82.66464174,2.7
Sri Lanka,323.5598689,4245.427794,1712,2487.191552,0,2487.191552,279.9032614,609.8329893,38.54,90.78541374,6.105854157,0.271273444,28.35460423,65.11255794,170.9558824,3.7
Sudan,22.54539191,1216.883086,250,95.6902705,33.8,904.2730562,507.8761107,644.354359,15.1,118.6563877,2.818788629,0.206445549,171.2209978,60.7720976,157.3225969,3.3
Suriname,3.515993163,6084.947552,2331,171877.984,0,171877.984,34722.82505,1069.289397,83.41,3.950609365,7.11287161,1.145939583,10.36129932,50.36200838,100,1.4
Sweden,22.28623751,55704.96835,624,17148.63696,3,17449.49024,3606.127699,238.1755134,104.7,3.427128427,198.4104787,3.684499821,79.71109428,380.8765735,103.3778626,0.4
Switzerland,206.4793043,82530.17486,1537,4738.663305,13.1,6275.21007,392.171306,207.3517077,27.28,6.498855835,392.6044489,5.828898436,263.5763958,542.7071384,158.5849344,3.2
Syrian Arab Republic,91.50586996,909.420489,252,420.8897025,9.67,991.557597,1159.63021,989.1026038,5.573,124.3601389,0.982236635,0.102253577,9.059100768,6.364507336,110.2479339,2.7
Tajikistan,64.37144575,826.041486,691,6972.986545,-41.55,2407.471402,3242.010211,1073.967389,6.752,64.48080222,0.882335544,0.227410971,1.643076467,5.471700195,108.1405694,3.7
Thailand,135.3064644,7299.352335,1622,3233.688643,214.1,6317.43876,1141.187749,825.3964697,189.6,23.01393518,7.400056065,0.373069242,51.78920249,95.26387057,145.9881423,3.7
Timor-Leste,85.27061197,1949.257379,1500,6478.839471,0,6478.839471,,924.3091735,4.069,28.26821032,2.026773103,0.056912629,637.7908882,10.49336237,117.6063646,2.2
Togo,138.9169396,646.414962,1168,1457.708763,3.2,1863.332071,217.7017054,28.26687428,8.125,3.391634981,13.34117871,0.010365732,102.470987,16.5510152,114.4036697,3.1
Tokelau,131.9,,,,0,0,,,,,,,,,,
Tonga,137.596,4625.359516,,,0,0,,,,,,,,,,
Trinidad and Tobago,270.9245614,17345.5614,2200,2762.901997,0,2762.901997,51.4230744,275.7145951,2.186,20.32648126,58.38556361,2.486701969,68.89404848,56.61354042,,2.2
Tunisia,70.68761689,3421.77736,207,362.726078,0.42,399.0419189,232.7134652,332.4369373,0.6767,95.9987812,10.22013689,0.272201216,226.5547496,32.4406861,119.2073887,2.6
Turkey,104.8450856,9416.31547,593,2756.858846,-15.4,2569.829656,1916.758601,721.2161347,76.97,45.37887544,14.06324233,0.289306177,86.67555383,84.02612733,84.1705023,2.6
Turkmenistan,11.98709486,6963.940563,161,240.1339554,23.36,4232.681428,956.1775186,4777.725687,5.355,143.5600206,1.525226351,0.146385991,28.91561271,19.22813724,101.1551984,1.8
Tuvalu,383.6,4078.953162,,,0,0,,,,,,,,,,
Uganda,176.8952018,679.86719,1180,912.7282909,21.1,1406.5377,1872.280713,14.90789542,49.17,5.82799634,32.41871294,0.046002657,102.0225102,47.37097544,175.0231054,3.6
Ukraine,73.30984343,2972.841353,565,1245.30592,120.18,3961.474077,1252.056789,253.1745357,98.1,13.87017362,6.603820273,0.057217086,4.793913685,21.99874957,64.38356164,2.4
United Arab Emirates,135.2622221,43407.63514,78,15.57477298,0,15.57477298,6.341040389,524.8275712,,1667.333333,74.20524408,0.923734605,1555.197576,105.2827711,73.77631579,1.2
United Kingdom,275.6113624,42889.38632,1220,2159.612202,2,2189.399956,78.51307393,125.4064465,88.35,14.35464621,323.0442051,0.650235629,463.2638319,361.5491421,192.4255082,3.4
United Republic of Tanzania,59.44625567,994.447217,1071,1491.651069,12.27,1709.538672,1850.334551,92.05618027,56.28,12.96324081,7.513881627,0.192981902,614.7348586,43.05445678,135.3971487,3.1
United States of America,33.27019603,62981.38696,715,8615.200788,251,9382.558985,2249.696678,1358.285152,1491,28.16198427,43.65705113,0.185568136,15.86345643,274.6553747,100.5507007,3.1
Uruguay,19.57374305,17177.13914,1300,26730.17741,80,49923.38992,4973.108772,1061.089472,134.8,9.786096257,13.32912539,0.196980766,155.1831354,87.18419285,110.4201681,3
Uzbekistan,72.34240985,1560.325238,206,503.1370007,32.53,1504.792241,677.7846601,1813.633375,14,168.924577,1.431188329,0.457685661,12.02592969,14.02571362,100,2.7
Vanuatu,24.00984413,3150.934375,2000,34167.00834,0,34167.00834,,,,,,,,,,
Venezuela (Bolivarian Republic of),31.67273505,6433.928949,2044,27867.09287,520,45868.19634,5456.608721,783.2660911,1025,7.540366667,7.805433532,0.252455322,81.58244518,21.01702099,100,2.7
Viet Nam,288.4580563,2538.068147,1821,3761.749764,524.7,9253.347619,468.000835,858.5396838,432.6,18.13031538,2.51642781,0.380025482,22.29656024,89.83081745,190.3598691,3.8
Yemen,53.97784533,922.404203,167,73.68761567,0,73.68761567,16.22882012,125.0934999,,169.7619048,5.972429403,0.790017629,69.78632315,53.58450109,116.0026414,2.9
Zambia,23.05537795,1549.354235,1020,4622.023377,24.6,6039.751245,5828.440635,90.59626868,49.36,2.835497836,13.43842421,0.022862815,54.1174299,48.49516901,100,2.5
Zimbabwe,36.95056301,1437.425967,657,849.1009157,7.74,1385.156469,6920.930559,261.1975703,9.348,35.40536988,4.830175713,0.042805095,50.13326068,21.58517325,145.8958838,2.8
